record_id,customer_id,timestamp,date,time,hour,day_of_week,month,season,is_weekend,is_holiday,customer_type,income_level,age_group,family_size,region,climate_zone,urban_setting,energy_source,meter_type,grid_reliability,building_type,building_size_sqft,construction_year,energy_certification,energy_usage_kwh,peak_hours_usage,off_peak_hours_usage,usage_per_person,usage_per_sqft,lifestyle_type,work_pattern,activity_pattern,efficiency_score,usage_pattern,anomaly_score,appliance_count,appliances,carbon_footprint_kg,cost_estimate_usd,savings_potential_percent,usage_description,efficiency_insights,recommendations
172,CUST0172,2024-12-10T00:53:00,2024-12-10,00:53:00,0,Tuesday,12,Winter,0,0,Residential,Low,46-55,2,West_Coast,Tropical,Rural,Hybrid,Digital_Meter,Good,Warehouse,1398,1970,LEED_Silver,18.03,14.05,6.11,9.01,0.0129,Tech_Heavy,Remote,Early_Bird,92.0,High_Usage,0.194,11,"Air_Conditioner,Heater,Dishwasher,Water_Heater,Gaming_Console,TV,Oven,Computer,Dryer,Washing_Machine,Refrigerator",16.59,2.03,14.3,A 2-person household in a warehouse showing 18.0 kWh usage.,Excellent efficiency rating of 92.00547816177547 with LEED_Silver certification. Building constructed in 1970 with 11 appliances.,Maintain current efficient practices
173,CUST0173,2024-11-23T14:59:00,2024-11-23,14:59:00,14,Saturday,11,Fall,1,0,Large_Business,Very_High,65+,6,Midwest,Subtropical,Urban,Wind,Smart_Meter,Poor,Condo,2432,1975,LEED_Platinum,66.68,52.18,22.88,11.11,0.0274,High_Consumption,Hybrid,Irregular,100,Extreme_High,0.429,11,"Air_Conditioner,TV,Washing_Machine,Computer,Dishwasher,Gaming_Console,Oven,Dryer,Heater,Water_Heater,Refrigerator",61.34,7.01,6.5,Energy consumption of 66.7 kWh for condo with 6 occupants.,Excellent efficiency rating of 100 with LEED_Platinum certification. Building constructed in 1975 with 11 appliances.,Optimize HVAC system settings; Implement energy conservation practices
174,CUST0174,2024-08-16T00:57:00,2024-08-16,00:57:00,0,Friday,8,Summer,0,0,Industrial,Medium,65+,1,Northeast,Continental,Suburban,Solar,Analog_Meter,Fair,Condo,1313,1995,LEED_Platinum,11.89,8.4,4.73,11.89,0.0091,Eco_Conscious,Shift_Work,Irregular,91.4,Extreme_High,0.132,7,"Gaming_Console,Dryer,Refrigerator,TV,Computer,Air_Conditioner,Oven",10.93,1.39,11.1,A 1-person household in a condo showing 11.9 kWh usage.,Excellent efficiency rating of 91.35420341813986 with LEED_Platinum certification. Building constructed in 1995 with 7 appliances.,Maintain current efficient practices
175,CUST0175,2024-11-19T20:05:00,2024-11-19,20:05:00,20,Tuesday,11,Fall,0,0,Large_Business,High,18-25,8,Midwest,Subtropical,Urban,Battery_Backup,Smart_Meter,Poor,Warehouse,3156,1965,LEED_Silver,69.77,52.93,22.93,8.72,0.0221,Minimalist,Office,Irregular,100,High_Usage,0.655,19,"Water_Heater,Dryer,Washing_Machine,Refrigerator,Heater,Gaming_Console,Microwave,Oven,Dishwasher,Computer,Air_Conditioner,TV",64.19,8.72,24.3,Usage pattern indicates minimalist behavior with 8.7 kWh per person.,Excellent efficiency rating of 100 with LEED_Silver certification. Building constructed in 1965 with 12 appliances.,Optimize HVAC system settings
176,CUST0176,2024-01-09T01:21:00,2024-01-09,01:21:00,1,Tuesday,1,Winter,0,0,Residential,High,65+,1,Southwest,Tropical,Urban,Battery_Backup,Digital_Meter,Good,Warehouse,1086,1995,LEED_Gold,5.8,3.54,1.52,5.8,0.0053,Average,Shift_Work,Early_Bird,92.0,Moderate_Usage,0.332,6,"Dryer,Heater,Washing_Machine,Refrigerator,Air_Conditioner,Microwave",5.34,0.81,14.1,Average lifestyle with 5.8 kWh per person during night.,Excellent efficiency rating of 91.97755101923276 with LEED_Gold certification. Building constructed in 1995 with 6 appliances.,Maintain current efficient practices
177,CUST0177,2024-10-29T02:52:00,2024-10-29,02:52:00,2,Tuesday,10,Fall,0,0,Residential,Low,46-55,4,Northeast,Subtropical,Suburban,Wind,Analog_Meter,Poor,Townhouse,2379,1955,None,23.99,15.56,7.59,6.0,0.0101,Average,Remote,Night_Owl,90.6,Moderate_Usage,0.685,8,"Oven,Washing_Machine,TV,Heater,Microwave,Water_Heater,Dishwasher,Dryer",22.07,2.56,20.8,Usage pattern indicates average behavior with 6.0 kWh per person.,Excellent efficiency rating of 90.60683597290864 with None certification. Building constructed in 1955 with 8 appliances.,Consider solar panel installation
178,CUST0178,2024-03-21T00:56:00,2024-03-21,00:56:00,0,Thursday,3,Spring,0,0,Industrial,Low,18-25,1,Southeast,Tropical,Rural,Battery_Backup,Digital_Meter,Poor,Warehouse,1404,2010,Energy_Star,15.94,9.58,3.94,15.94,0.0114,Average,Office,Irregular,75.0,Extreme_High,0.42,10,"Air_Conditioner,Refrigerator,Water_Heater,Washing_Machine,Computer,Oven,Heater,Gaming_Console,TV,Dishwasher",14.67,1.69,15.6,A 1-person household in a warehouse showing 15.9 kWh usage.,Good efficiency at 74.97581657019407 with room for improvement. Building constructed in 2010 with 10 appliances.,Maintain current efficient practices
179,CUST0179,2024-11-12T11:55:00,2024-11-12,11:55:00,11,Tuesday,11,Fall,0,0,Small_Business,Very_High,65+,4,Midwest,Tropical,Urban,Grid,Smart_Meter,Poor,Condo,2143,1960,LEED_Gold,25.74,18.09,5.51,6.43,0.012,Minimalist,Office,Regular,100,Moderate_Usage,0.625,13,"Microwave,Air_Conditioner,Computer,Refrigerator,Dishwasher,Water_Heater,Gaming_Console,Oven,Heater,TV,Washing_Machine,Dryer",23.68,2.88,13.9,Energy consumption of 25.7 kWh for condo with 4 occupants.,Excellent efficiency rating of 100 with LEED_Gold certification. Building constructed in 1960 with 12 appliances.,Optimize HVAC system settings
180,CUST0180,2024-08-02T06:47:00,2024-08-02,06:47:00,6,Friday,8,Summer,0,0,Large_Business,Medium,18-25,6,Southeast,Tropical,Urban,Hybrid,Smart_Meter,Poor,Apartment,1799,1955,Energy_Star,98.41,59.68,30.88,16.4,0.0547,Eco_Conscious,Hybrid,Night_Owl,98.1,Extreme_High,0.14,19,"Washing_Machine,TV,Microwave,Water_Heater,Computer,Air_Conditioner,Dishwasher,Gaming_Console,Oven,Refrigerator,Heater,Dryer",90.54,11.22,7.2,Usage pattern indicates eco_conscious behavior with 16.4 kWh per person.,Excellent efficiency rating of 98.10138818943126 with Energy_Star certification. Building constructed in 1955 with 12 appliances.,Optimize HVAC system settings
181,CUST0181,2024-08-22T13:10:00,2024-08-22,13:10:00,13,Thursday,8,Summer,0,0,Large_Business,Medium,36-45,3,West_Coast,Subtropical,Rural,Battery_Backup,Smart_Meter,Excellent,Condo,1800,2015,None,167.89,133.64,34.92,55.96,0.0933,Average,Unemployed,Irregular,82.5,Extreme_High,1.0,13,"Refrigerator,TV,Dryer,Air_Conditioner,Microwave,Gaming_Console,Oven,Dishwasher,Computer,Washing_Machine,Water_Heater,Heater",154.46,20.74,20.4,A 3-person household in a condo showing 167.9 kWh usage.,Excellent efficiency rating of 82.5 with None certification. Building constructed in 2015 with 12 appliances.,Optimize HVAC system settings
182,CUST0182,2024-08-05T16:25:00,2024-08-05,16:25:00,16,Monday,8,Summer,0,0,Industrial,Low,46-55,8,Southeast,Tropical,Rural,Grid,Analog_Meter,Poor,Apartment,1951,1960,LEED_Silver,188.31,136.59,64.17,23.54,0.0965,Minimalist,Remote,Irregular,84.1,Extreme_High,0.508,10,"Water_Heater,Computer,Air_Conditioner,Refrigerator,Heater,Dryer,Dishwasher,TV,Microwave,Oven",173.24,18.84,17.5,Usage pattern indicates minimalist behavior with 23.5 kWh per person.,Excellent efficiency rating of 84.1225 with LEED_Silver certification. Building constructed in 1960 with 10 appliances.,Optimize HVAC system settings
183,CUST0183,2024-12-19T10:33:00,2024-12-19,10:33:00,10,Thursday,12,Winter,0,0,Residential,High,46-55,5,West_Coast,Polar,Rural,Solar,Analog_Meter,Excellent,Office,3676,2020,LEED_Silver,267.29,212.83,66.21,53.46,0.0727,Tech_Heavy,Office,Early_Bird,90.3,Extreme_High,0.818,16,"Computer,Air_Conditioner,Refrigerator,Microwave,Gaming_Console,Dishwasher,Water_Heater,Oven,Heater,Washing_Machine,Dryer,TV",245.91,28.25,14.6,Tech_Heavy lifestyle with 53.5 kWh per person during morning.,Excellent efficiency rating of 90.29599999999999 with LEED_Silver certification. Building constructed in 2020 with 12 appliances.,Optimize HVAC system settings
184,CUST0184,2024-04-25T10:22:00,2024-04-25,10:22:00,10,Thursday,4,Spring,0,0,Large_Business,Very_High,36-45,1,Northeast,Temperate,Suburban,Hybrid,Digital_Meter,Excellent,Condo,1397,2005,None,22.97,18.19,4.95,22.97,0.0164,High_Consumption,Shift_Work,Regular,62.6,Extreme_High,1.0,7,"Dryer,Computer,Dishwasher,Air_Conditioner,TV,Gaming_Console,Washing_Machine",21.13,2.49,7.2,High_Consumption lifestyle with 23.0 kWh per person during morning.,Good efficiency at 62.56 with room for improvement. Building constructed in 2005 with 7 appliances.,Optimize HVAC system settings; Implement energy conservation practices
185,CUST0185,2024-09-11T04:55:00,2024-09-11,04:55:00,4,Wednesday,9,Fall,0,0,Small_Business,Low,36-45,7,West_Coast,Subtropical,Suburban,Wind,Digital_Meter,Poor,Warehouse,2699,2000,LEED_Platinum,46.39,29.94,12.73,6.63,0.0172,Minimalist,Hybrid,Regular,100,Moderate_Usage,0.693,15,"Heater,Water_Heater,Microwave,Computer,Gaming_Console,Dryer,Washing_Machine,Oven,Dishwasher,TV,Refrigerator,Air_Conditioner",42.68,5.31,21.9,Minimalist lifestyle with 6.6 kWh per person during night.,Excellent efficiency rating of 100 with LEED_Platinum certification. Building constructed in 2000 with 12 appliances.,Optimize HVAC system settings
186,CUST0186,2024-06-29T09:29:00,2024-06-29,09:29:00,9,Saturday,6,Summer,1,0,Small_Business,Medium,65+,5,Southeast,Subtropical,Rural,Solar,Smart_Meter,Good,Single_Family,2594,1950,LEED_Silver,65.67,46.49,15.27,13.13,0.0253,High_Consumption,Office,Night_Owl,99.5,Extreme_High,0.367,6,"Heater,Microwave,Water_Heater,Washing_Machine,Air_Conditioner,Dryer",60.42,7.56,23.4,Usage pattern indicates high_consumption behavior with 13.1 kWh per person.,Excellent efficiency rating of 99.48961344128593 with LEED_Silver certification. Building constructed in 1950 with 6 appliances.,Optimize HVAC system settings; Implement energy conservation practices; Consider solar panel installation
187,CUST0187,2024-09-12T04:29:00,2024-09-12,04:29:00,4,Thursday,9,Fall,0,0,Large_Business,Medium,18-25,6,Midwest,Continental,Suburban,Battery_Backup,Analog_Meter,Good,Office,3773,2005,Energy_Star,163.91,100.15,53.8,27.32,0.0434,Eco_Conscious,Remote,Night_Owl,85.9,Extreme_High,0.095,8,"Oven,Refrigerator,TV,Dryer,Computer,Washing_Machine,Heater,Air_Conditioner",150.79,21.17,9.4,Energy consumption of 163.9 kWh for office with 6 occupants.,Excellent efficiency rating of 85.92333333333333 with Energy_Star certification. Building constructed in 2005 with 8 appliances.,Optimize HVAC system settings
188,CUST0188,2024-04-10T00:05:00,2024-04-10,00:05:00,0,Wednesday,4,Spring,0,0,Industrial,Low,56-65,7,Southeast,Continental,Suburban,Battery_Backup,Analog_Meter,Excellent,Warehouse,2625,1975,Energy_Star,114.47,87.13,45.11,16.35,0.0436,Eco_Conscious,Office,Irregular,91.6,Extreme_High,0.221,14,"Microwave,Water_Heater,Oven,Computer,Dishwasher,Gaming_Console,Heater,Dryer,Air_Conditioner,TV,Washing_Machine,Refrigerator",105.31,13.87,22.9,Eco_Conscious lifestyle with 16.4 kWh per person during night.,Excellent efficiency rating of 91.64690419413913 with Energy_Star certification. Building constructed in 1975 with 12 appliances.,Optimize HVAC system settings
189,CUST0189,2024-10-27T19:05:00,2024-10-27,19:05:00,19,Sunday,10,Fall,1,0,Small_Business,Medium,36-45,8,West_Coast,Temperate,Urban,Battery_Backup,Digital_Meter,Excellent,Single_Family,3112,1980,LEED_Silver,111.33,67.39,22.32,13.92,0.0358,Eco_Conscious,Unemployed,Night_Owl,92.3,Extreme_High,0.441,17,"Oven,Gaming_Console,Computer,Refrigerator,Water_Heater,TV,Air_Conditioner,Washing_Machine,Dryer,Microwave,Dishwasher,Heater",102.42,12.6,24.1,Usage pattern indicates eco_conscious behavior with 13.9 kWh per person.,Excellent efficiency rating of 92.30395959845339 with LEED_Silver certification. Building constructed in 1980 with 12 appliances.,Optimize HVAC system settings; Consider solar panel installation
190,CUST0190,2024-03-04T20:42:00,2024-03-04,20:42:00,20,Monday,3,Spring,0,0,Large_Business,Very_High,26-35,8,Southeast,Tropical,Urban,Wind,Digital_Meter,Excellent,Office,4497,2005,LEED_Silver,403.68,254.01,117.96,50.46,0.0898,Eco_Conscious,Office,Irregular,90.3,Extreme_High,0.403,8,"Microwave,Gaming_Console,Air_Conditioner,Refrigerator,Oven,Dishwasher,Computer,Heater",371.38,54.36,12.1,A 8-person household in a office showing 403.7 kWh usage.,Excellent efficiency rating of 90.2575 with LEED_Silver certification. Building constructed in 2005 with 8 appliances.,Optimize HVAC system settings
191,CUST0191,2024-05-19T11:26:00,2024-05-19,11:26:00,11,Sunday,5,Spring,1,0,Large_Business,Low,36-45,5,West_Coast,Tropical,Rural,Solar,Analog_Meter,Good,Single_Family,2578,1995,LEED_Gold,95.25,63.63,36.4,19.05,0.0369,High_Consumption,Office,Regular,97.1,Extreme_High,0.076,16,"Dishwasher,Gaming_Console,Air_Conditioner,Microwave,Washing_Machine,Refrigerator,Water_Heater,Oven,Computer,Heater,Dryer,TV",87.63,10.01,8.1,High_Consumption lifestyle with 19.0 kWh per person during morning.,Excellent efficiency rating of 97.13880533235222 with LEED_Gold certification. Building constructed in 1995 with 12 appliances.,Optimize HVAC system settings; Implement energy conservation practices; Consider solar panel installation
192,CUST0192,2024-04-06T17:39:00,2024-04-06,17:39:00,17,Saturday,4,Spring,1,0,Residential,Very_High,46-55,2,Northeast,Subtropical,Urban,Hybrid,Digital_Meter,Fair,Warehouse,1526,1975,LEED_Gold,21.52,14.74,7.59,10.76,0.0141,Tech_Heavy,Unemployed,Regular,93.5,Extreme_High,0.119,14,"Refrigerator,Dishwasher,Dryer,Washing_Machine,Gaming_Console,Microwave,Heater,Computer,TV,Water_Heater,Oven,Air_Conditioner",19.79,2.27,5.4,Usage pattern indicates tech_heavy behavior with 10.8 kWh per person.,Excellent efficiency rating of 93.48214284593898 with LEED_Gold certification. Building constructed in 1975 with 12 appliances.,Optimize HVAC system settings
193,CUST0193,2024-08-08T01:12:00,2024-08-08,01:12:00,1,Thursday,8,Summer,0,0,Residential,Low,65+,1,Southwest,Tropical,Suburban,Grid,Smart_Meter,Fair,Warehouse,1450,1950,LEED_Platinum,6.16,4.7,2.17,6.16,0.0042,Tech_Heavy,Hybrid,Night_Owl,84.8,Moderate_Usage,0.469,16,"Refrigerator,Dishwasher,Washing_Machine,Oven,Microwave,Air_Conditioner,Heater,Gaming_Console,Computer,TV,Water_Heater,Dryer",5.66,0.78,19.3,Energy consumption of 6.2 kWh for warehouse with 1 occupants.,Excellent efficiency rating of 84.844703940787 with LEED_Platinum certification. Building constructed in 1950 with 12 appliances.,Maintain current efficient practices
194,CUST0194,2024-03-28T17:00:00,2024-03-28,17:00:00,17,Thursday,3,Spring,0,0,Residential,Medium,56-65,8,Midwest,Polar,Urban,Hybrid,Analog_Meter,Excellent,Apartment,1994,2015,LEED_Silver,166.62,103.83,42.77,20.83,0.0836,Tech_Heavy,Hybrid,Irregular,94.5,Extreme_High,0.306,15,"Dishwasher,Computer,Water_Heater,Gaming_Console,Washing_Machine,Dryer,Heater,Microwave,Refrigerator,TV,Air_Conditioner,Oven",153.29,21.66,11.2,Usage pattern indicates tech_heavy behavior with 20.8 kWh per person.,Excellent efficiency rating of 94.515 with LEED_Silver certification. Building constructed in 2015 with 12 appliances.,Optimize HVAC system settings
195,CUST0195,2024-04-25T17:26:00,2024-04-25,17:26:00,17,Thursday,4,Spring,0,0,Large_Business,Very_High,26-35,2,Southwest,Temperate,Urban,Grid,Analog_Meter,Poor,Warehouse,1524,1955,Energy_Star,14.8,11.38,4.16,7.4,0.0097,Minimalist,Remote,Night_Owl,87.9,High_Usage,0.393,8,"Water_Heater,Washing_Machine,Dishwasher,Microwave,Dryer,Heater,Air_Conditioner,Oven",13.62,1.65,13.5,Usage pattern indicates minimalist behavior with 7.4 kWh per person.,Excellent efficiency rating of 87.86035908065521 with Energy_Star certification. Building constructed in 1955 with 8 appliances.,Maintain current efficient practices
196,CUST0196,2024-05-22T22:49:00,2024-05-22,22:49:00,22,Wednesday,5,Spring,0,0,Large_Business,Very_High,36-45,8,West_Coast,Continental,Suburban,Battery_Backup,Digital_Meter,Good,Condo,2928,1955,LEED_Platinum,99.2,73.0,22.87,12.4,0.0339,Average,Hybrid,Early_Bird,98.8,Extreme_High,0.471,6,"Dishwasher,Computer,Refrigerator,Washing_Machine,TV,Oven",91.27,13.01,6.9,A 8-person household in a condo showing 99.2 kWh usage.,Excellent efficiency rating of 98.77949844007516 with LEED_Platinum certification. Building constructed in 1955 with 6 appliances.,Maintain current efficient practices
197,CUST0197,2024-12-04T16:49:00,2024-12-04,16:49:00,16,Wednesday,12,Winter,0,0,Industrial,Very_High,26-35,5,Southwest,Continental,Rural,Wind,Analog_Meter,Fair,Office,3691,1990,LEED_Platinum,161.05,106.7,44.74,32.21,0.0436,Eco_Conscious,Remote,Irregular,92.2,Extreme_High,0.091,17,"Computer,Water_Heater,Refrigerator,Air_Conditioner,Washing_Machine,Oven,Microwave,Heater,Dishwasher,Dryer,TV,Gaming_Console",148.17,22.26,16.4,Usage pattern indicates eco_conscious behavior with 32.2 kWh per person.,Excellent efficiency rating of 92.236 with LEED_Platinum certification. Building constructed in 1990 with 12 appliances.,Optimize HVAC system settings
198,CUST0198,2024-12-03T17:43:00,2024-12-03,17:43:00,17,Tuesday,12,Winter,0,0,Industrial,Very_High,56-65,3,West_Coast,Tropical,Suburban,Wind,Digital_Meter,Poor,Office,3092,2000,LEED_Silver,414.08,330.6,116.93,138.03,0.1339,High_Consumption,Remote,Early_Bird,80.4,Extreme_High,1.0,9,"Microwave,Water_Heater,Air_Conditioner,Refrigerator,Heater,Dryer,Gaming_Console,TV,Washing_Machine",380.96,42.58,9.9,High_Consumption lifestyle with 138.0 kWh per person during evening.,Excellent efficiency rating of 80.38666666666666 with LEED_Silver certification. Building constructed in 2000 with 9 appliances.,Optimize HVAC system settings; Implement energy conservation practices
199,CUST0199,2024-11-27T09:37:00,2024-11-27,09:37:00,9,Wednesday,11,Fall,0,0,Residential,Low,36-45,2,Midwest,Subtropical,Urban,Battery_Backup,Digital_Meter,Excellent,Condo,1590,2000,Energy_Star,13.89,9.92,5.02,6.94,0.0087,Eco_Conscious,Office,Early_Bird,95.2,Moderate_Usage,0.454,5,"Microwave,TV,Air_Conditioner,Heater,Water_Heater",12.78,1.46,18.5,Energy consumption of 13.9 kWh for condo with 2 occupants.,Excellent efficiency rating of 95.15559843132215 with Energy_Star certification. Building constructed in 2000 with 5 appliances.,Maintain current efficient practices
200,CUST0200,2024-09-11T16:51:00,2024-09-11,16:51:00,16,Wednesday,9,Fall,0,0,Large_Business,Medium,56-65,5,Midwest,Continental,Urban,Hybrid,Analog_Meter,Excellent,Office,3435,1965,LEED_Silver,86.76,65.96,25.6,17.35,0.0253,Tech_Heavy,Shift_Work,Night_Owl,83.4,Extreme_High,0.369,7,"Water_Heater,Air_Conditioner,Dishwasher,Microwave,Oven,Refrigerator,Computer",79.82,9.59,20.9,Energy consumption of 86.8 kWh for office with 5 occupants.,Excellent efficiency rating of 83.40831512946377 with LEED_Silver certification. Building constructed in 1965 with 7 appliances.,Optimize HVAC system settings
201,CUST0201,2024-09-15T09:27:00,2024-09-15,09:27:00,9,Sunday,9,Fall,1,0,Large_Business,Medium,46-55,7,Midwest,Polar,Rural,Hybrid,Analog_Meter,Good,Single_Family,2795,2000,None,363.57,247.98,135.26,51.94,0.1301,Average,Shift_Work,Regular,82.0,Extreme_High,1.0,18,"Air_Conditioner,Heater,Refrigerator,Gaming_Console,Dryer,Washing_Machine,Computer,Dishwasher,Oven,Water_Heater,Microwave,TV",334.49,52.92,17.7,Usage pattern indicates average behavior with 51.9 kWh per person.,Excellent efficiency rating of 82.0142857142857 with None certification. Building constructed in 2000 with 12 appliances.,Optimize HVAC system settings; Consider solar panel installation
202,CUST0202,2024-05-16T09:41:00,2024-05-16,09:41:00,9,Thursday,5,Spring,0,0,Small_Business,High,65+,4,Southwest,Subtropical,Urban,Solar,Smart_Meter,Excellent,Apartment,1437,2010,LEED_Silver,38.9,28.02,14.53,9.72,0.0271,Eco_Conscious,Shift_Work,Early_Bird,100,High_Usage,0.154,13,"Washing_Machine,Refrigerator,Oven,Air_Conditioner,Water_Heater,Microwave,Heater,Dryer,TV,Gaming_Console,Computer,Dishwasher",35.79,5.64,13.1,Energy consumption of 38.9 kWh for apartment with 4 occupants.,Excellent efficiency rating of 100 with LEED_Silver certification. Building constructed in 2010 with 12 appliances.,Optimize HVAC system settings
203,CUST0203,2024-12-09T21:56:00,2024-12-09,21:56:00,21,Monday,12,Winter,0,0,Residential,Very_High,65+,3,Southeast,Tropical,Rural,Battery_Backup,Smart_Meter,Fair,Condo,1671,2020,LEED_Platinum,77.58,54.83,26.37,25.86,0.0464,High_Consumption,Office,Irregular,98.9,Extreme_High,0.935,12,"TV,Dryer,Washing_Machine,Dishwasher,Air_Conditioner,Gaming_Console,Computer,Heater,Oven,Water_Heater,Refrigerator,Microwave",71.38,8.2,15.9,Usage pattern indicates high_consumption behavior with 25.9 kWh per person.,Excellent efficiency rating of 98.86 with LEED_Platinum certification. Building constructed in 2020 with 12 appliances.,Optimize HVAC system settings; Implement energy conservation practices
204,CUST0204,2024-12-15T07:17:00,2024-12-15,07:17:00,7,Sunday,12,Winter,1,0,Small_Business,High,46-55,6,Midwest,Tropical,Rural,Battery_Backup,Smart_Meter,Excellent,Warehouse,2429,2020,LEED_Gold,312.2,226.74,117.35,52.03,0.1285,High_Consumption,Office,Early_Bird,98.9,Extreme_High,1.0,12,"Computer,TV,Refrigerator,Heater,Oven,Washing_Machine,Air_Conditioner,Dishwasher,Gaming_Console,Microwave,Dryer,Water_Heater",287.22,43.19,13.1,A 6-person household in a warehouse showing 312.2 kWh usage.,Excellent efficiency rating of 98.90333333333334 with LEED_Gold certification. Building constructed in 2020 with 12 appliances.,Optimize HVAC system settings; Implement energy conservation practices
205,CUST0205,2024-05-20T02:52:00,2024-05-20,02:52:00,2,Monday,5,Spring,0,0,Industrial,Very_High,65+,7,Midwest,Continental,Urban,Solar,Analog_Meter,Fair,Office,4115,1955,LEED_Silver,256.75,174.63,83.61,36.68,0.0624,Tech_Heavy,Office,Irregular,86.7,Extreme_High,0.114,6,"Heater,Water_Heater,Washing_Machine,Computer,Air_Conditioner,Refrigerator",236.21,29.7,6.6,Tech_Heavy lifestyle with 36.7 kWh per person during night.,Excellent efficiency rating of 86.74285714285715 with LEED_Silver certification. Building constructed in 1955 with 6 appliances.,Optimize HVAC system settings
206,CUST0206,2024-05-07T16:45:00,2024-05-07,16:45:00,16,Tuesday,5,Spring,0,0,Small_Business,Very_High,36-45,8,Southwest,Subtropical,Suburban,Solar,Analog_Meter,Fair,Townhouse,3112,1965,LEED_Platinum,39.15,31.12,9.38,4.89,0.0126,Eco_Conscious,Shift_Work,Night_Owl,100,Moderate_Usage,0.803,5,"Gaming_Console,Heater,Air_Conditioner,Dryer,Dishwasher",36.02,5.29,8.4,Usage pattern indicates eco_conscious behavior with 4.9 kWh per person.,Excellent efficiency rating of 100 with LEED_Platinum certification. Building constructed in 1965 with 5 appliances.,Optimize HVAC system settings; Consider solar panel installation
207,CUST0207,2024-11-12T13:38:00,2024-11-12,13:38:00,13,Tuesday,11,Fall,0,0,Large_Business,Medium,18-25,6,Southeast,Polar,Urban,Grid,Analog_Meter,Poor,Condo,2360,2015,Energy_Star,197.6,119.69,78.09,32.93,0.0837,Average,Hybrid,Regular,88.6,Extreme_High,0.744,20,"TV,Washing_Machine,Water_Heater,Dryer,Gaming_Console,Air_Conditioner,Heater,Dishwasher,Computer,Refrigerator,Oven,Microwave",181.79,22.09,14.0,Average lifestyle with 32.9 kWh per person during afternoon.,Excellent efficiency rating of 88.63333333333333 with Energy_Star certification. Building constructed in 2015 with 12 appliances.,Optimize HVAC system settings
208,CUST0208,2024-07-08T18:43:00,2024-07-08,18:43:00,18,Monday,7,Summer,0,0,Industrial,Low,18-25,8,Southeast,Temperate,Rural,Hybrid,Analog_Meter,Good,Warehouse,3176,1980,Energy_Star,288.95,181.01,109.35,36.12,0.091,Minimalist,Remote,Early_Bird,90.1,Extreme_High,0.422,12,"Computer,Microwave,Air_Conditioner,Refrigerator,Gaming_Console,Washing_Machine,Oven,Heater,Dryer,Dishwasher,TV,Water_Heater",265.83,29.49,8.6,Minimalist lifestyle with 36.1 kWh per person during evening.,Excellent efficiency rating of 90.06 with Energy_Star certification. Building constructed in 1980 with 12 appliances.,Optimize HVAC system settings
209,CUST0209,2024-09-14T15:59:00,2024-09-14,15:59:00,15,Saturday,9,Fall,1,0,Large_Business,Very_High,26-35,2,Midwest,Polar,Suburban,Solar,Digital_Meter,Excellent,Townhouse,1955,1950,LEED_Gold,22.23,14.18,4.69,11.11,0.0114,High_Consumption,Office,Irregular,91.3,Extreme_High,0.289,13,"Air_Conditioner,Oven,Gaming_Console,Microwave,TV,Dishwasher,Washing_Machine,Dryer,Computer,Water_Heater,Heater,Refrigerator",20.45,2.43,14.4,High_Consumption lifestyle with 11.1 kWh per person during afternoon.,Excellent efficiency rating of 91.33654980729153 with LEED_Gold certification. Building constructed in 1950 with 12 appliances.,Optimize HVAC system settings; Implement energy conservation practices; Consider solar panel installation
210,CUST0210,2024-12-27T14:27:00,2024-12-27,14:27:00,14,Friday,12,Winter,0,0,Residential,Very_High,18-25,8,Midwest,Polar,Suburban,Hybrid,Digital_Meter,Excellent,Warehouse,2863,2015,LEED_Gold,159.23,117.09,60.1,19.9,0.0556,Average,Office,Night_Owl,96.4,Extreme_High,0.131,13,"Air_Conditioner,Heater,Water_Heater,Dryer,Refrigerator,Oven,TV,Dishwasher,Gaming_Console,Computer,Washing_Machine,Microwave",146.49,16.13,18.6,A 8-person household in a warehouse showing 159.2 kWh usage.,Excellent efficiency rating of 96.43904315325327 with LEED_Gold certification. Building constructed in 2015 with 12 appliances.,Optimize HVAC system settings
211,CUST0211,2024-07-20T11:37:00,2024-07-20,11:37:00,11,Saturday,7,Summer,1,0,Residential,High,26-35,1,Northeast,Continental,Rural,Hybrid,Digital_Meter,Fair,Office,2268,2000,LEED_Platinum,21.38,13.22,5.37,21.38,0.0094,Tech_Heavy,Shift_Work,Regular,75.0,Extreme_High,0.178,9,"Dryer,Refrigerator,Oven,Microwave,Heater,Gaming_Console,Computer,Air_Conditioner,Water_Heater",19.67,2.39,20.4,Usage pattern indicates tech_heavy behavior with 21.4 kWh per person.,Good efficiency at 75.0 with room for improvement. Building constructed in 2000 with 9 appliances.,Optimize HVAC system settings
212,CUST0212,2024-02-15T00:54:00,2024-02-15,00:54:00,0,Thursday,2,Winter,0,0,Small_Business,Medium,46-55,7,Midwest,Subtropical,Urban,Wind,Digital_Meter,Poor,Warehouse,2900,2010,LEED_Silver,341.54,207.69,91.65,48.79,0.1178,High_Consumption,Remote,Regular,93.7,Extreme_High,1.0,20,"Computer,TV,Water_Heater,Oven,Heater,Refrigerator,Dryer,Washing_Machine,Dishwasher,Microwave,Gaming_Console,Air_Conditioner",314.22,42.07,9.5,High_Consumption lifestyle with 48.8 kWh per person during night.,Excellent efficiency rating of 93.71428571428572 with LEED_Silver certification. Building constructed in 2010 with 12 appliances.,Optimize HVAC system settings; Implement energy conservation practices
